date,total_day_review,avg_day_stars,total_5_stars,total_4_stars,total_3_stars,total_2_stars,total_1_stars
2026-02-12,1,5.0,1,0,0,0,0
2026-02-25,1,5.0,1,0,0,0,0
2026-02-26,1,5.0,1,0,0,0,0
2026-02-28,1,5.0,1,0,0,0,0
2026-03-02,1,5.0,1,0,0,0,0
2026-03-07,1,3.0,0,0,1,0,0
2026-03-14,1,5.0,1,0,0,0,0
2026-03-23,1,5.0,1,0,0,0,0
2026-03-25,1,5.0,1,0,0,0,0
2026-03-26,1,5.0,1,0,0,0,0
2026-03-30,1,5.0,1,0,0,0,0
2026-04-01,1,4.0,0,1,0,0,0
2026-04-05,1,5.0,1,0,0,0,0
2026-04-09,1,5.0,1,0,0,0,0
2026-04-13,1,5.0,1,0,0,0,0
